appear_sec,mode,font_size,color,color_hex,send_ts,send_time,pool,user_hash,danmaku_id,text
844.844,1,25,16777215,#FFFFFF,1738028427,2025-01-28T01:40:27,0,b6b11e1d,1769469710245803520,是母亲
436.06,1,25,16777215,#FFFFFF,1738023402,2025-01-28T00:16:42,0,b930825f,1769427564713477632,太赞同了
873.863,1,25,16777215,#FFFFFF,1738003420,2025-01-27T18:43:40,0,dd89fb64,1769259943305152256,我靠，我想的是女孩怕挨打，但是父亲还是打了她。
963.931,1,25,16777215,#FFFFFF,1738002668,2025-01-27T18:31:08,0,3ea88e60,1769253633771584768,你这个评测挺不错，再加个应用题更好了
1252.382,1,25,16777215,#FFFFFF,1737983109,2025-01-27T13:05:09,0,314b6434,1769089559570036480,编号最小也一样吧
905.234,1,25,16777215,#FFFFFF,1737982120,2025-01-27T12:48:40,0,314b6434,1769081266273264384,自己色盲看不出来
863.591,1,25,16777215,#FFFFFF,1737982058,2025-01-27T12:47:38,0,314b6434,1769080744342429696,o1推理没问题
1723.421,1,25,16777215,#FFFFFF,1737978459,2025-01-27T11:47:39,0,c36c04e,1769050549774785792,意大利面拌42号混凝土
1378.263,1,25,16777215,#FFFFFF,1737978098,2025-01-27T11:41:38,0,c36c04e,1769047521445504000,《中美网友》
1533.793,1,25,16777215,#FFFFFF,1737914813,2025-01-26T18:06:53,0,ebf490ad,1768516653043404800,偏冷
1297.133,1,25,16777215,#FFFFFF,1737908111,2025-01-26T16:15:11,0,722cd6a6,1768460431326030848,现实是两个答案都不行，杀人犯太多，一个人一把手枪一发子弹，不具有威慑
1340.71,1,25,16777215,#FFFFFF,1737907929,2025-01-26T16:12:09,0,722cd6a6,1768458901419832320,其实两个答案都不能让全部人
1329.094,1,25,16777215,#FFFFFF,1737906984,2025-01-26T15:56:24,0,58c97a11,1768450980157933568,这个问题设计得不好，你又不可以说他回答错误
947.005,1,25,16777215,#FFFFFF,1737903116,2025-01-26T14:51:56,0,254daa6a,1768418533291307776,这个也太偏了，说明dp的想象力比不上o1
7.143,1,25,16777215,#FFFFFF,1737880194,2025-01-26T08:29:54,0,ac3be744,1768226242882052608,绝绝子
1594.232,1,25,16777215,#FFFFFF,1737865503,2025-01-26T04:25:03,0,4fd27467,1768103010128593152,这个笑话太细致了。
1338.672,1,25,16777215,#FFFFFF,1737865198,2025-01-26T04:19:58,0,4fd27467,1768100453893130496,这方法也不可靠，但是他有自己的思想。我们的也不差。
1338.672,1,25,16777215,#FFFFFF,1737865167,2025-01-26T04:19:27,0,4fd27467,1768100189534842624,01的方法其实也不可行。淘宝每个人都是最大的编号，不如一起投。
106.676,1,25,16777215,#FFFFFF,1737856460,2025-01-26T01:54:20,0,87312d60,1768027151946868992,都不开源趟什么路 别来碰瓷
97.339,1,25,16777215,#FFFFFF,1737855933,2025-01-26T01:45:33,0,c807a7ec,1768022725571656960,openai负责蹚路，其它负责致敬并超越。
1433.616,1,25,16777215,#FFFFFF,1737855394,2025-01-26T01:36:34,0,850cf929,1768018204976134400,这个测评很有价值，有力的回击了大家对于OpenAI的一些质疑
1329.836,1,25,16777215,#FFFFFF,1737855245,2025-01-26T01:34:05,0,850cf929,1768016954058260736,我感觉差距极大，O1方法可行，这个不可执行
1293.301,1,25,16777215,#FFFFFF,1737855165,2025-01-26T01:32:45,0,850cf929,1768016283405654016,如果大家串联起来一起跑，无法区分谁是第一个就没法惩罚，所以这个策略不可执行
1212.121,1,25,16777215,#FFFFFF,1737854834,2025-01-26T01:27:14,0,850cf929,1768013507389173760,高
869.974,1,25,16777215,#FFFFFF,1737854293,2025-01-26T01:18:13,0,850cf929,1768008970335029760,我靠，这样看应该还是O1答对了，让我我还真答不出这个解答来
864.525,1,25,16777215,#FFFFFF,1737853954,2025-01-26T01:12:34,0,850cf929,1768006124432493824,我完全都没注意
849.384,1,25,16777215,#FFFFFF,1737853902,2025-01-26T01:11:42,0,850cf929,1768005693459361280,我靠，真的会有这么深度复杂吗？
525.199,1,25,16777215,#FFFFFF,1737852954,2025-01-26T00:55:54,0,850cf929,1767997741688262912,有见识
2419.801,1,25,16777215,#FFFFFF,1737820155,2025-01-25T15:49:15,0,115221b4,1767722606091704064,谢谢up主！！
846.389,1,25,16777215,#FFFFFF,1737815270,2025-01-25T14:27:50,0,39eb2c0e,1767681626123022848,o1这个推理很明显是错的，不知道你们为啥认为对？
846.389,1,25,16777215,#FFFFFF,1737815179,2025-01-25T14:26:19,0,39eb2c0e,1767680859060157696,对o1这个推理是不对的，是错误的
809.02,1,25,16777215,#FFFFFF,1737811115,2025-01-25T13:18:35,0,1de0e3df,1767646771321836800,我用R1做了个测试结果是：深层寓意：故事揭示了沟通与理解的重要性，以及固有偏见（如对分数的过度重视）如何加剧误会。父亲的崩溃不仅是个人自责，更是对教育方式、亲子关系缺陷的反思——他用暴力维护权威。。
2363.994,1,25,16777215,#FFFFFF,1737806783,2025-01-25T12:06:23,0,8b490289,1767610427611304192,还是比较客观的
1248.761,1,25,16777215,#FFFFFF,1737799531,2025-01-25T10:05:31,0,ccb27127,1767549596755747328,666
857.621,1,25,16777215,#FFFFFF,1737797206,2025-01-25T09:26:46,0,bfaca781,1767530091279148544,比我强
2469.957,1,25,16777215,#FFFFFF,1737795565,2025-01-25T08:59:25,0,de78f03e,1767516322814137600,关注一些靠谱的up
1737.328,1,25,16777215,#FFFFFF,1737794817,2025-01-25T08:46:57,0,de78f03e,1767510054644991744,专业词汇
1622.277,1,25,16777215,#FFFFFF,1737794692,2025-01-25T08:44:52,0,de78f03e,1767509001530515968,文本库不一样
1454.972,1,25,16777215,#FFFFFF,1737794469,2025-01-25T08:41:09,0,de78f03e,1767507133463149056,但是图还是有洋中对立思维的
1396.562,1,25,16777215,#FFFFFF,1737794376,2025-01-25T08:39:36,0,de78f03e,1767506348096484352,粉红和“公知”
962.137,1,25,16777215,#FFFFFF,1737794317,2025-01-25T08:38:37,0,879f214d,1767505854544056576,我也没有理解
1374.78,1,25,16777215,#FFFFFF,1737794303,2025-01-25T08:38:23,0,de78f03e,1767505743848271616,哈哈
934.973,1,25,16777215,#FFFFFF,1737793807,2025-01-25T08:30:07,0,de78f03e,1767501577721760000,逻辑不对
516.989,1,25,16777215,#FFFFFF,1737793373,2025-01-25T08:22:53,0,de78f03e,1767497941436078080,猜题？
956.953,1,25,16777215,#FFFFFF,1737791326,2025-01-25T07:48:46,0,d436e6d7,1767480763521588992,r1的逻辑有问题，人类监督还是有效？
594.533,1,25,16777215,#FFFFFF,1737772509,2025-01-25T02:35:09,0,249c53dd,1767322918339327744,Meta的领导们如坐针毡
299.223,1,25,16777215,#FFFFFF,1737772175,2025-01-25T02:29:35,0,249c53dd,1767320112718795520,已经取消了
826.657,1,25,16777215,#FFFFFF,1737758677,2025-01-24T22:44:37,0,937e67b9,1767206888598476544,笑死了
560.939,1,25,16777215,#FFFFFF,1737747014,2025-01-24T19:30:14,0,4a040dfc,1767109054729635584,这么多人这么晚了
2459.786,1,25,16777215,#FFFFFF,1737739893,2025-01-24T17:31:33,0,a4d95666,1767049315659887872,是的你说的很多 很多人都是就看了个文章标题也不思考就下了结论 然后就开始跟别人胡说八道
1867.47,1,25,16777215,#FFFFFF,1737733835,2025-01-24T15:50:35,0,6f008efb,1766998498630736128,实际上讨论到某些领域确实会这样，和狂暴prompt影响不大
1730.359,1,25,16777215,#FFFFFF,1737733726,2025-01-24T15:48:46,0,6f008efb,1766997580741069568,确实！这种学科词汇滥用作为理科生实在讨厌
503.55,1,25,16777215,#FFFFFF,1737733058,2025-01-24T15:37:38,0,6f008efb,1766991978023392000,确实，我也在思考这个问题
2497.694,1,25,16777215,#FFFFFF,1737710260,2025-01-24T09:17:40,0,d8ceae49,1766800736693957888,你不看好deepseek
859.958,1,25,16777215,#FFFFFF,1737699445,2025-01-24T06:17:25,0,d3bf652,1766710012774310144,牛
1847.686,1,25,16777215,#FFFFFF,1737693844,2025-01-24T04:44:04,0,96b39ed8,1766663026947728640,这里说错了吧，O1)
850.448,1,25,16777215,#FFFFFF,1737692120,2025-01-24T04:15:20,0,96b39ed8,1766648565222467584,啊哈哈哈哈哈哈
